codigo_do_ativo,empresa,serie,emissao,ipo,situacao,isin,registro_cvm_da_emissao,data_de_registro_cvm_da_emissao,registro_cvm_do_programa,data_de_registro_cvm_do_programa,data_de_emissao,data_de_vencimento,motivo_de_saida,data_de_saida_novo_vencimento,data_do_inicio_da_rentabilidade,data_do_inicio_da_distribuicao,data_da_proxima_repactuacao,ato_societario_1,data_do_ato_1,ato_societario_2,data_do_ato_2,forma,garantia_especie,classe,quantidade_emitida,artigo_14,artigo_24,quantidade_em_mercado,quantidade_em_tesouraria,quantidade_resgatada,quantidade_cancelada,quantidade_convertida_no_snd,quantidade_convertida_fora_do_snd,quantidade_permutada_no_snd,quantidade_permutada_fora_do_snd,unidade_monetaria,valor_nominal_na_emissao,valor_nominal_atual,data_ult_vna,indice,tipo,criterio_de_calculo,dia_de_referencia_para_indice_de_precos,criterio_para_indice,corrige_a_cada,percentual_multiplicador_rentabilidade,limite_da_tjlp,tipo_de_tratamento_do_limite_da_tjlp,juros_criterio_antigo_do_snd,premios_criterio_antigo_do_snd,amortizacao_taxa,amortizacao_cada,amortizacao_unidade,amortizacao_carencia,amortizacao_criterio,tipo_de_amortizacao,juros_criterio_novo_taxa,juros_criterio_novo_prazo,juros_criterio_novo_cada,juros_criterio_novo_unidade,juros_criterio_novo_carencia,juros_criterio_novo_criterio,juros_criterio_novo_tipo,premio_criterio_novo_taxa,premio_criterio_novo_prazo,premio_criterio_novo_cada,premio_criterio_novo_unidade,premio_criterio_novo_carencia,premio_criterio_novo_criterio,premio_criterio_novo_tipo,participacao_taxa,participacao_cada,participacao_unidade,participacao_carencia,participacao_descricao,banco_mandatario,agente_fiduciario,instituicao_depositaria,coordenador_lider,cnpj,deb_incent_lei_12_431,escritura_padronizada,resgate_antecipado,data_captura,conjunto,arquivo_origem,registro_hash
CSRN11,COMPANHIA ENERGETICA DO RIO GRANDE DO NORTE-COSERN,UNI,001,Sim,Excluído,BRCSRNDBS010,CVM/SRE/DEB-2000/008,2000-04-07,,,2000-04-01,2003-04-01,01/04/2003 - VENCIMENTO,2003-04-01,2000-04-01,2000-04-11,-,AGE,2000-03-03,,,Nominativa,Flutuante,Simples,9000,,,000000007500,000000000000,000000000000,000000001500,000000000000,000000000000,000000000000,000000000000,R$,10000,0,2003-04-01,DI,Integrante de Juros,Padrão - SND,00,DU,,104.5,0,-,-,,25,0006,MES,2001-10-01,-,Percentual fixo sobre o valor nominal de emissão em períodos uniformes,0,000,0006,MES,2001-10-01,-,Exponencial,0,000,,,,-,-,0,0000,-,,,BANCO DO BRASIL S/A,SIMPLIFIC PAVARINI DTVM LTDA,,BB BCO DE INVESTIMENTO S/A,08324196000181,N,n,,2026-06-10,debêntures___características_de_emissões,,98962fa0f1fc1df0c1f8fe6a
CSRN17,COMPANHIA ENERGETICA DO RIO GRANDE DO NORTE-COSERN,001,007,-,Excluído,BRCSRNDBS085,CVM/SRE/DEB/2017/009,2017-10-18,,,2017-10-15,2022-10-15,,2022-10-15,2017-10-24,2017-10-24,-,RCA,2017-09-05,,,Escritural,Quirografária,Simples,271438,,,000000000000,000000000000,000000263012,,,000000000000,,000000000000,R$,1000,1309.15765,2022-10-14,IPCA,,Padrão - SND,15,-,,-,0,-,-,,-,-,,-,-,-,4.641,252,0012,MES,2018-10-15,-,Exponencial,,-,,,,-,-,0,,-,,,BANCO BRADESCO S/A,SIMPLIFIC PAVARINI DTVM LTDA,BANCO BRADESCO S/A,BB BCO DE INVESTIMENTO S/A,08324196000181,S,,S,2026-06-10,debêntures___características_de_emissões,,1ba5d9c9bb32acb1d6aa5123
CSRN18,COMPANHIA ENERGETICA DO RIO GRANDE DO NORTE-COSERN,UNI,008,-,Excluído,BRCSRNDBS002,DISPENSA ICVM 476/09,2018-07-20,,,2018-07-15,2023-07-15,,2023-07-15,2018-07-23,2018-07-23,-,RCA,2018-06-28,,,Escritural,Quirografária,Simples,130000,,,000000130000,000000000000,000000000000,,,000000000000,,000000000000,R$,1000,660.710239,2023-06-26,IPCA,,Padrão - SND,15,-,,-,0,-,-,,50,0012,MES,2022-07-15,-,Percentual fixo sobre o valor nominal atualizado em períodos uniformes,5.9772,252,0012,MES,2019-07-15,Útil,Exponencial,,-,,,,-,-,0,,-,,,BANCO BRADESCO S/A,SIMPLIFIC PAVARINI DTVM LTDA,BANCO BRADESCO S/A,BANCO SAFRA S/A,08324196000181,S,,N,2026-06-10,debêntures___características_de_emissões,,c071c47d2897c135a5d98230
CSRN19,COMPANHIA ENERGETICA DO RIO GRANDE DO NORTE-COSERN,001,009,-,Registrado,BRCSRNDBS0A1,DISPENSA ICVM 476/09,2019-05-21,,,2019-04-17,2026-04-15,,2026-04-15,2019-05-22,2019-05-22,-,RCA,2019-04-17,,,Escritural,Quirografária,Simples,179500,,,000000000000,000000000000,000000179500,,,000000000000,,000000000000,R$,1000,1448.7085,2026-04-15,IPCA,,Padrão - SND,15,-,,-,0,-,-,,-,-,,-,-,-,4.2542,252,0006,MES,2019-10-15,Útil,Exponencial,,-,,,,-,-,0,,-,,,BANCO BRADESCO S/A,VX PAVARINI DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA,BANCO BRADESCO S/A,BANCO J. SAFRA S/A,08324196000181,S,,N,2026-06-10,debêntures___características_de_emissões,,3f3fd28b1e6eebe7951898f4
CSRN27,COMPANHIA ENERGETICA DO RIO GRANDE DO NORTE-COSERN,002,007,-,Excluído,BRCSRNDBS093,CVM/SRE/DEB/2017/010,2017-10-18,,,2017-10-15,2024-10-15,,2024-10-15,2017-10-24,2017-10-24,-,RCA,2017-09-05,,,Escritural,Quirografária,Simples,98562,,,000000000000,000000000000,000000098256,,,000000000000,,000000000000,R$,1000,1437.77326,2024-10-15,IPCA,,Padrão - SND,15,-,,-,0,-,-,,-,-,,-,-,-,4.9102,252,0012,MES,2018-10-15,-,Exponencial,,-,,,,-,-,0,,-,,,BANCO BRADESCO S/A,VX PAVARINI DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA,BANCO BRADESCO S/A,BB BCO DE INVESTIMENTO S/A,08324196000181,S,,S,2026-06-10,debêntures___características_de_emissões,,5fd09b58a8c74065fc22a12a
CSRN29,COMPANHIA ENERGETICA DO RIO GRANDE DO NORTE-COSERN,002,009,-,Registrado,BRCSRNDBS0B9,DISPENSA ICVM 476/09,2019-05-21,,,2019-04-17,2029-04-15,,2029-04-15,2019-05-22,2019-05-22,-,RCA,2019-04-17,,,Escritural,Quirografária,Simples,38500,,,000000038500,000000000000,000000000000,,,000000000000,,000000000000,R$,1000,1466.71811,2026-06-10,IPCA,,Padrão - SND,15,-,,-,0,-,-,,-,0012,MES,2027-04-15,-,Percentual variável sobre o valor nominal atualizado em períodos uniformes,4.4986,252,0006,MES,2019-10-15,Útil,Exponencial,,-,,,,-,-,0,,-,,,BANCO BRADESCO S/A,VX PAVARINI DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA,BANCO BRADESCO S/A,BANCO J. SAFRA S/A,08324196000181,S,,N,2026-06-10,debêntures___características_de_emissões,,2b8ca866173fa01f89b69289
CSRN39,COMPANHIA ENERGETICA DO RIO GRANDE DO NORTE-COSERN,003,009,-,Excluído,BRCSRNDBS0C7,DISPENSA ICVM 476/09,2019-05-21,,,2019-04-17,2024-04-15,,2024-04-15,2019-05-22,2019-05-22,-,RCA,2019-04-17,,,Escritural,Quirografária,Simples,282000,,,000000000000,000000000000,000000282000,,,000000000000,,000000000000,R$,1000,1000,2024-04-15,DI,,Padrão - SND,,-,,107.25,0,-,-,,-,-,,-,-,-,,,0006,MES,2019-10-15,-,-,,-,,,,-,-,0,,-,,,BANCO BRADESCO S/A,VX PAVARINI DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA,BANCO BRADESCO S/A,BANCO J. SAFRA S/A,08324196000181,N,,S,2026-06-10,debêntures___características_de_emissões,,ea0254ac523751d76166d945
CSRNA0,COMPANHIA ENERGETICA DO RIO GRANDE DO NORTE-COSERN,001,010,-,Registrado,BRCSRNDBS0E3,DISPENSA ICVM 476/09,2022-07-20,,,2022-07-15,2027-07-15,,2027-07-15,2022-07-21,2022-06-15,-,RCA,2022-06-15,,,Escritural,Quirografária,Simples,500000,,,000000000000,000000000000,000000500000,,,000000000000,,000000000000,R$,1000,1000,2026-04-23,DI,,Padrão - SND,,-,,100,0,-,-,,-,-,,-,-,-,1.28,252,0006,MES,2023-01-15,Útil,Exponencial,,-,,,,-,-,0,,-,,,BANCO BRADESCO S/A,PENTAGONO S/A DTVM,BANCO BRADESCO S/A,BANCO ITAU-BBA S/A,08324196000181,N,,S,2026-06-10,debêntures___características_de_emissões,,8c6a34c0157cd4b28e184c26
CSRNA1,COMPANHIA ENERGETICA DO RIO GRANDE DO NORTE-COSERN,UNI,011,-,Registrado,BRCSRNDBS0H6,AUT/DEB/PRI/2023/176,2023-07-20,,,2023-06-15,2028-06-15,,2028-06-15,2023-07-21,2023-07-20,-,RCA,2023-06-28,,,Escritural,Quirografária,Simples,500000,,,000000500000,000000000000,000000000000,,,000000000000,,000000000000,R$,1000,1145.14646,2026-06-10,IPCA,,Padrão - SND,15,-,,-,0,-,-,,-,-,,-,-,-,6.4482,252,0006,MES,2023-12-15,Útil,Exponencial,,-,,,,-,-,0,,-,,,BANCO BRADESCO S/A,PENTAGONO S/A DTVM,BANCO BRADESCO S/A,BANCO BNP PARIBAS BRASIL  S/A,08324196000181,S,,N,2026-06-10,debêntures___características_de_emissões,,73b7b5360ba109283f86ed3c
CSRNA2,COMPANHIA ENERGETICA DO RIO GRANDE DO NORTE-COSERN,001,012,-,Registrado,BRCSRNDBS0I4,AUT/DEB/PRI/2024/168,2024-04-11,,,2024-03-15,2031-03-15,,2031-03-15,2024-04-12,2024-04-11,-,RCA,2024-03-20,,,Escritural,Quirografária,Simples,450000,,,000000450000,000000000000,000000000000,,,000000000000,,000000000000,R$,1000,1000,2026-06-10,DI,,Padrão - SND,,-,,100,0,-,-,,50,0012,MES,2030-03-15,-,Percentual fixo sobre o valor nominal atualizado em períodos uniformes,0.96,252,0006,MES,2024-09-15,Útil,Exponencial,,-,,,,-,-,0,,-,,,BANCO BRADESCO S/A,PENTAGONO S/A DTVM,BANCO BRADESCO S/A,BANCO ITAU-BBA S/A,08324196000181,N,,S,2026-06-10,debêntures___características_de_emissões,,432c97cd4a15bc2c92e23224
