data_captura,hora_captura,indice,codigo,acao,tipo,qtde_teorica,part_pct
2026-06-01,19:11:23,IBOV,ALOS3,ALLOS,ON      NM,478.558.715,"0,559"
2026-06-01,19:11:23,IBOV,ABEV3,AMBEV S/A,ON,4.273.841.357,"2,888"
2026-06-01,19:11:23,IBOV,ASAI3,ASSAI,ON      NM,1.338.623.499,"0,485"
2026-06-01,19:11:23,IBOV,AURE3,AUREN,ON      NM,317.799.925,"0,163"
2026-06-01,19:11:23,IBOV,AXIA3,AXIA ENERGIA,ON      N1,1.863.816.444,"4,045"
2026-06-01,19:11:23,IBOV,AXIA6,AXIA ENERGIA,PNB     N1,266.311.915,"0,628"
2026-06-01,19:11:23,IBOV,AZZA3,AZZAS 2154,ON      NM,109.571.260,"0,087"
2026-06-01,19:11:23,IBOV,B3SA3,B3,ON      NM,4.997.059.816,"3,413"
2026-06-01,19:11:23,IBOV,BBSE3,BBSEGURIDADE,ON  ATZ NM,616.248.544,"0,903"
2026-06-01,19:11:23,IBOV,BBDC3,BRADESCO,ON      N1,1.464.429.403,"0,940"
2026-06-01,19:11:23,IBOV,BBDC4,BRADESCO,PN      N1,5.100.889.966,"3,738"
2026-06-01,19:11:23,IBOV,BRAP4,BRADESPAR,PN      N1,250.914.708,"0,242"
2026-06-01,19:11:23,IBOV,BBAS3,BRASIL,ON      NM,2.842.496.541,"2,389"
2026-06-01,19:11:23,IBOV,BRKM5,BRASKEM,PNA     N1,265.709.734,"0,115"
2026-06-01,19:11:23,IBOV,BRAV3,BRAVA,ON      NM,462.883.017,"0,388"
2026-06-01,19:11:23,IBOV,BPAC11,BTGP BANCO,UNT     N2,1.194.624.560,"2,658"
2026-06-01,19:11:23,IBOV,CXSE3,CAIXA SEGURI,ON      NM,600.000.000,"0,440"
2026-06-01,19:11:23,IBOV,CEAB3,CEA MODAS,ON      NM,204.964.309,"0,098"
2026-06-01,19:11:23,IBOV,CMIG4,CEMIG,PN      N1,1.904.057.894,"0,848"
2026-06-01,19:11:23,IBOV,COGN3,COGNA ON,ON      NM,1.915.914.094,"0,198"
2026-06-01,19:11:23,IBOV,CSMG3,COPASA,ON      NM,188.467.895,"0,411"
2026-06-01,19:11:23,IBOV,CPLE3,COPEL,ON      NM,2.969.406.694,"1,790"
2026-06-01,19:11:23,IBOV,CSAN3,COSAN,ON  ATZ NM,2.242.671.999,"0,353"
2026-06-01,19:11:23,IBOV,CPFE3,CPFL ENERGIA,ON      NM,187.732.538,"0,337"
2026-06-01,19:11:23,IBOV,CMIN3,CSNMINERACAO,ON      N2,1.646.519.336,"0,318"
2026-06-01,19:11:23,IBOV,CURY3,CURY S/A,ON      NM,160.988.231,"0,211"
2026-06-01,19:11:23,IBOV,CYRE3,CYRELA REALT,ON      NM,281.609.283,"0,263"
2026-06-01,19:11:23,IBOV,DIRR3,DIRECIONAL,ON      NM,327.091.595,"0,181"
