data_captura,hora_captura,data_referencia,indice,numero_indice,variacao_diaria,variacao_mensal,variacao_anual,variacao_ultimos_12_meses,variacao_ultimos_24_meses,duration_du,peso_geral,carteira_a_mercado_rs_mil,numero_operacoes,quant_negociada_1000_titulos,valor_negociado_rs_mil,pmr,convexidade,yield_,redemption_yield
2026-06-02,14:02:58,1,01/06/2026,IMA-B 5,11300.68488000,-0.0405,-0.0405,6.2082,12.3250,22.3197,466,10.58,859739612,635,1613.85,7268687.70,688.970037748692,6.37444452243534,8.64064086665702
2026-06-02,14:02:58,1,01/06/2026,IMA-B 5+,12583.59433000,-0.4076,-0.4076,3.9161,9.1523,11.6183,2428,13.25,1076212719,1046,3248.12,13903820.26,4730.07707982619,134.904290991891,7.53944713155606
2026-06-02,14:02:58,1,01/06/2026,IMA-B,11476.23221800,-0.2449,-0.2449,4.9191,10.5485,15.9912,1557,23.83,1935952331,1681,4861.97,21172507.97,2935.45654890258,77.8253027570325,8.02847770287215
2026-06-02,14:02:58,1,01/06/2026,IMA-S,8607.12116400,0.0539,0.0539,5.8215,15.0342,28.9119,1,53.08,4312663080,526,1570.60,29905860.64,1,0,
2026-06-02,14:02:58,1,01/06/2026,IMA-GERAL-EX-C,9953.61857900,-0.0609,-0.0609,5.2149,13.4956,24.1692,507,98.92,8036936296,2724,38193.46,74146156.92,912.296481546461,20.8129091230627,
2026-06-02,14:02:58,1,01/06/2026,IMA-GERAL,10096.25188100,-0.0604,-0.0604,5.2306,13.4088,24.0585,512,100.00,8124887398,2724,38193.46,74146156.92,917.285229638633,20.7592470434242,
2026-06-02,23:44:21,1,02/06/2026,IRF-M 1,20154.43293200,0.0569,0.0806,5.5163,14.4556,27.6315,96,6.21,513878875,,,,140.061383733057,0.472470349515979,14.1480811940526
2026-06-02,23:44:21,1,02/06/2026,IRF-M 1+,24341.29270800,-0.1896,-0.3895,3.5243,12.5782,20.9273,787,15.73,1300807818,,,,1226.6141925775,12.7217940673545,14.1386533214725
2026-06-02,23:44:21,1,02/06/2026,IRF-M,22484.26365100,-0.1199,-0.2574,4.0653,13.1327,23.0824,592,21.95,1814686692,,,,918.926624775964,9.25305827165607,14.1413230851141
2026-06-02,23:44:21,1,02/06/2026,IMA-B 5,11295.84799600,-0.0428,-0.0833,6.1627,12.3539,22.2674,464,10.39,859371629,,,,687.542548622211,6.34482038698088,8.72473586868389
2026-06-02,23:44:21,1,02/06/2026,IMA-B 5+,12542.63917000,-0.3255,-0.7318,3.5778,9.0552,11.2550,2423,12.97,1072710026,,,,4728.83439869482,134.380160886875,7.58581273836202
2026-06-02,23:44:21,1,02/06/2026,IMA-B,11453.28703800,-0.1999,-0.4444,4.7093,10.5187,15.7593,1552,23.37,1932081655,,,,2931.30604349728,77.4312535685881,8.0923949643171
2026-06-02,23:44:21,1,02/06/2026,IMA-S,8611.75308400,0.0538,0.1077,5.8785,15.0337,28.9813,1,53.62,4433935508,,,,1,0,
2026-06-02,23:44:21,1,02/06/2026,IMA-GERAL-EX-C,9949.16148200,-0.0448,-0.1056,5.1678,13.4809,24.1136,498,98.94,8180703855,,,,896.685739207577,20.3399254114086,
2026-06-02,23:44:21,1,02/06/2026,IMA-GERAL,10091.78450400,-0.0442,-0.1046,5.1840,13.3944,24.0036,503,100.00,8268659482,,,,901.743414970527,20.291872622436,
