data_captura,conjunto,arquivo_origem,registro_hash,tamanho_bytes
2026-06-01,b3_bvbg086,PR260529.zip,7805cae1977cd79de39c298f,10199040
2026-06-01,b3_bvbg086,PR260529.zip,d497472feeb514d9ca58f13e,13788860
2026-06-02,b3_bvbg086,PR260601.zip,9396b7aeb331cbff9bd6710c,13533885
2026-06-03,b3_bvbg086,PR260602.zip,fdae2b5f00edec149d34babf,13544533
