data_captura,data_referencia,tipo_ativo,codigo,isin,limite_quantidade
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,ABBV34,BRABBVBDR001,3033000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,ABCB4,BRABCBACNPR4,1475000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,ABEV3,BRABEVACNOR1,82385000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,ABTT34,BRABTTBDR007,3174000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,ABUD34,BRABUDBDR009,3026000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,ACNB34,BRACNBBDR006,111000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,ACWI11,BRACWICTF001,14640000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,ADBE34,BRADBEBDR003,4227000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,ADPR34,BRADPRBDR005,2627000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,AIGB34,BRAIGBBDR007,422000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,AIRB34,BRAIRBBDR004,5474000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,AKZA34,BRAKZABDR005,1866000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,ALOS3,BRALOSACNOR5,10568000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,ALPA4,BRALPAACNPR7,5884000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,ALUG11,BRALUGCTF000,4871000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,ALUP11,BRALUPCDAM15,2360000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,AMGN34,BRAMGNBDR004,3518000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,AMZO34,BRAMZOBDR002,4469000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,ANGV39,BRANGVBDR005,1025000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,ANIM3,BRANIMACNOR6,29968000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,APTV34,BRAPTVBDR003,1035000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,ARMT34,BRARMTBDR008,1793000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,ARNC34,BRARNCBDR002,208000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,ASAI3,BRASAIACNOR0,41444000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,ASML34,BRASMLBDR003,2613000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,ATTB34,BRATTBBDR007,3843000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,AURA33,BRAURABDR001,665000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,AURE3,BRAUREACNOR9,15605000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,AVGO34,BRAVGOBDR003,10805000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,AWII34,BRAWIIBDR009,136000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,AXPB34,BRAXPBBDR007,1039000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,AZOI34,BRAZOIBDR000,2046000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,AZZA3,BRAZZAACNOR9,5654000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,B1AM34,BRB1AMBDR007,2439000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,B1AX34,BRB1AXBDR004,2230000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,B1BT34,BRB1BTBDR000,864000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,B1BW34,BRB1BWBDR012,4543000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,B1CS34,BRB1CSBDR000,1972000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,B1DX34,BRB1DXBDR008,1011000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,B1FC34,BRB1FCBDR007,995000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,B1IL34,BRB1ILBDR002,9188000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,B1KR34,BRB1KRBDR005,949000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,B1LL34,BRB1LLBDR006,1374000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,B1ME34,BRB1MEBDR009,3813000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,B1MR34,BRB1MRBDR001,1214000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,B1NT34,BRB1NTBDR005,5714000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,B1PP34,BRB1PPBDR008,4855000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,B1RF34,BRB1RFBDR005,767000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,B1SX34,BRB1SXBDR006,335000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,B1TI34,BRB1TIBDR005,3851000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,B1WA34,BRB1WABDR006,1102000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,B2AH34,BRB2AHBDR005,2731000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,B2AP34,BRB2APBDR008,1574000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,B2HI34,BRB2HIBDR008,138895000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,B2LN34,BRB2LNBDR000,3728000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,B2MB34,BRB2MBBDR003,9115000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,B2RK34,BRB2RKBDR003,9337000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,B2UR34,BRB2URBDR002,4376000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,B3BR11,BRB3BRCTF009,26205000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,B5MBETF11,BRB5MBCTF005,3058000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,B5P2ETF11,BRB5P2CTF001,13500000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,BAAX39,BRBAAXBDR009,2181000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,BABA34,BRBABABDR005,9449000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,BACW39,BRBACWBDR007,2849000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,BAER39,BRBAERBDR003,4012000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,BARR34,BRBARRBDR005,3102000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,BBAS3,BRBBASACNOR3,46319000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,BBCN39,BRBBCNBDR004,737000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,BBDC3,BRBBDCACNOR1,21531000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,BBDC4,BRBBDCACNPR8,100300000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,BBER39,BRBBERBDR001,719000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,BBJP39,BRBBJPBDR004,2905000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,BBOV11,BRBBOVCTF001,45611000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,BBSE3,BRBBSEACNOR5,12000000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,BBUS39,BRBBUSBDR005,882000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,BBYY34,BRBBYYBDR005,477000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,BCHI39,BRBCHIBDR001,5266000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,BCIR39,BRBCIRBDR000,2292000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,BCPX39,BRBCPXBDR003,3006000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,BCSA34,BRBCSABDR005,2110000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,BDEF11,BRBDEFCTF001,6495000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,BDVY39,BRBDVYBDR007,1815000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,BEEF3,BRBEEFACNOR6,29213000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,BEEM39,BRBEEMBDR006,4598000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,BEFA39,BRBEFABDR008,3175000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,BEFG39,BRBEFGBDR005,2995000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,BEFV39,BRBEFVBDR004,3327000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,BEGD39,BRBEGDBDR000,1659000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,BEGE39,BRBEGEBDR008,1100000.0
