data_captura,TipoInstituicao,CodInst,AnoMes,NomeRelatorio,NumeroRelatorio,Grupo,Conta,NomeColuna,DescricaoColuna,Saldo,tipo_instituicao_label
2026-06-05,1,30949267,202512,Informações de Capital,5,Patrimônio de Referência para Comparação com o RWA - Patrimônio de Referência Nível I para Comparação com RWA,79646,"Capital Complementar 
(b)","Instrumentos de capital e dívida perpétuos, elegíveis como patrimônio regulatório",,conglomerados_prudenciais
2026-06-05,1,30949267,202512,Informações de Capital,5,Patrimônio de Referência para Comparação com o RWA - Patrimônio de Referência Nível I para Comparação com RWA,79647,"Patrimônio de Referência Nível I para Comparação com RWA 
(c) = (a) + (b)",Parcela do capital formada pela soma das parcelas do Capital Principal e Capital Complementar,,conglomerados_prudenciais
2026-06-05,1,31746993,202512,Informações de Capital,5,,79658,"Exposição Total 
(k)","Exposição Total, sem ponderação de risco, conforme definido na Circular n° 3.748 de 27 de fevereiro de 2015",,conglomerados_prudenciais
2026-06-05,1,31746993,202512,Informações de Capital,5,,79659,"Índice de Capital Principal 
(l) = (a) / (j)",Relação entre Capital Principal e Ativos ponderados pelo risco,,conglomerados_prudenciais
2026-06-05,1,31746993,202512,Informações de Capital,5,,79660,"Índice de Capital Nível I 
(m) = (c) / (j)",Relação entre o Patrimônio de Referência Nível I e os Ativos ponderados pelo risco,,conglomerados_prudenciais
2026-06-05,1,31746993,202512,Informações de Capital,5,,79661,"Razão de Alavancagem 
(o) = (c) / (k)",Relação entre o Patrimônio de Referência de Nível I e a Exposição Total,,conglomerados_prudenciais
2026-06-05,1,31746993,202512,Informações de Capital,5,,79662,"Índice de Imobilização 
(p)",Relação entre Ativo Permanente e Patrimônio de Referência,0.049486072463193,conglomerados_prudenciais
2026-06-05,1,31746993,202512,Informações de Capital,5,,92999,Adicional de Capital Principal,"Adicional de Capital Principal – ACP corresponde ao requerimento de adicional de capital principal, apurado pela soma das seguintes parcelas: ACP Conservação, ACP Contracíclico e ACP Sistêmico (conta DLO 940).",0,conglomerados_prudenciais
2026-06-05,1,31746993,202512,Informações de Capital,5,,98576,IRRBB,Capital para Cobertura do Risco de Taxa de Juros da Carteira Bancária - Circular 3.876/18,0,conglomerados_prudenciais
2026-06-05,1,31746993,202512,Informações de Capital,5,Ativos Ponderados pelo Risco (RWA),134461,"RWAsp 
(i)",Parcela dos ativos ponderados pelo risco relativa ao cálculo de capital requerido para os riscos associados a serviços de pagamento,0,conglomerados_prudenciais
2026-06-05,1,31746993,202512,Informações de Capital,5,Ativos Ponderados pelo Risco (RWA),138232,"RWA para Risco de Crédito 
(f)",RWA para risco de crédito - ajustado,3140205.62,conglomerados_prudenciais
2026-06-05,1,31746993,202512,Informações de Capital,5,Ativos Ponderados pelo Risco (RWA),79656,"RWA para Risco Operacional 
(h)",Parcela do RWA referente à exposição ao risco operacional,264770.07,conglomerados_prudenciais
2026-06-05,1,31746993,202512,Informações de Capital,5,Ativos Ponderados pelo Risco (RWA),79665,"Ativos Ponderados pelo Risco (RWA) 
(j) = (f) + (g) + (h) + (i)","Corresponde à soma das parcelas referentes à exposição aos riscos de Crédito, de Mercado e Operacional",3404975.69,conglomerados_prudenciais
2026-06-05,1,31746993,202512,Informações de Capital,5,Ativos Ponderados pelo Risco (RWA) - RWA para Risco de Mercado,134460,"RWAcva 
(g5)",CVA - Ajuste para derivativos decorrente de variação da qualidade creditícia da contraparte,0,conglomerados_prudenciais
2026-06-05,1,31746993,202512,Informações de Capital,5,Ativos Ponderados pelo Risco (RWA) - RWA para Risco de Mercado,142840,"RWAdrc 
(g6)",Parcela do RWA relativa às exposições ao risco de crédito dos instrumentos financeiros classificados na carteira de negociação.,0,conglomerados_prudenciais
2026-06-05,1,31746993,202512,Informações de Capital,5,Ativos Ponderados pelo Risco (RWA) - RWA para Risco de Mercado,79651,"RWA para Risco de Mercado 
(g) = (g1) + (g2) + (g3) + (g4) + (g5) + (g6)",Parcela do RWA referente à exposição ao risco de mercado,0,conglomerados_prudenciais
2026-06-05,1,31746993,202512,Informações de Capital,5,Ativos Ponderados pelo Risco (RWA) - RWA para Risco de Mercado,79652,"RWAcam 
(g1)","Parcela do RWA referente às exposições em ouro, em moeda estrangeira e em ativos sujeitos à variação cambial",0,conglomerados_prudenciais
