data_captura,data_referencia,periodo,classe,segmento_investidor,tipo_metodologia,metrica,prazo,valor,data
2026-06-19,2026-04-30,04/2026,Ações,PRIVATE,Captação Líquida Dados Consolidados,EWMA_97,42,0.0323,2026/04/30
2026-06-19,2026-04-30,04/2026,Cambial,OUTROS,Resgate Dados Consolidados,EWMA_94,21,0.0189,2026/04/30
2026-06-19,2026-04-30,04/2026,Cambial,PJ,Captação Líquida Dados Consolidados,EWMA_97,1,0.0042,2026/04/30
2026-06-19,2026-04-30,04/2026,Cambial,PRIVATE,Resgate Dados Consolidados,EWMA_94,5,0.0472,2026/04/30
2026-06-19,2026-04-30,04/2026,Multimercados,INSTITUCIONAIS,Resgate Dados Consolidados,media_simples,2,0.0029,2026/04/30
2026-06-19,2026-04-30,04/2026,Multimercados,OUTROS,Resgate Dados Consolidados,EWMA_94,126,0.1851,2026/04/30
2026-06-19,2026-04-30,04/2026,Multimercados,OUTROS,Captação Líquida Dados Consolidados,media_simples,1,0.0015,2026/04/30
2026-06-19,2026-04-30,04/2026,RF DI,PJ,Captação Líquida Dados Consolidados,EWMA_97,63,0.518,2026/04/30
2026-06-19,2026-04-30,04/2026,Renda Fixa,INSTITUCIONAIS,Captação Líquida Dados Consolidados,media_simples,21,0.0469,2026/04/30
2026-06-19,2026-04-30,04/2026,Renda Fixa Crédito,EFPC,Captação Líquida Dados Consolidados,media_simples,21,0.0137,2026/04/30
2026-06-19,2026-04-30,04/2026,Renda Fixa Crédito,VAREJO,Captação Líquida Dados Consolidados,media_simples,5,0.0085,2026/04/30
2026-06-19,2026-04-30,04/2026,Ações,OUTROS,Captação Líquida Dados Consolidados,EWMA_97,2,0.0028,2026/04/30
2026-06-19,2026-04-30,04/2026,Cambial,OUTROS,Captação Líquida Dados Consolidados,media_simples,42,0.1616,2026/04/30
2026-06-19,2026-04-30,04/2026,Cambial,VAREJO,Captação Líquida Dados Consolidados,EWMA_94,63,0.1203,2026/04/30
2026-06-19,2026-04-30,04/2026,Renda Fixa,INSTITUCIONAIS,Resgate Dados Consolidados,media_simples,1,0.0029,2026/04/30
2026-06-19,2026-04-30,04/2026,Renda Fixa Crédito,OUTROS,Resgate Dados Consolidados,media_simples,4,0.0232,2026/04/30
2026-06-19,2026-04-30,04/2026,Ações,EFPC,Resgate Dados Consolidados,EWMA_97,5,0.004,2026/04/30
2026-06-19,2026-04-30,04/2026,Ações,EFPC,Captação Líquida Dados Consolidados,media_simples,10,0.0095,2026/04/30
2026-06-19,2026-04-30,04/2026,Cambial,OUTROS,Captação Líquida Dados Consolidados,EWMA_94,21,0.0189,2026/04/30
2026-06-19,2026-04-30,04/2026,Multimercados,OUTROS,Captação Líquida Dados Consolidados,media_simples,63,0.0885,2026/04/30
2026-06-19,2026-04-30,04/2026,RF DI,EFPC,Captação Líquida Dados Consolidados,EWMA_97,4,0.0166,2026/04/30
2026-06-19,2026-04-30,04/2026,Renda Fixa,PJ,Resgate Dados Consolidados,media_simples,5,0.0277,2026/04/30
2026-06-19,2026-04-30,04/2026,Renda Fixa Crédito,VAREJO,Captação Líquida Dados Consolidados,media_simples,126,0.1891,2026/04/30
2026-06-19,2026-04-30,04/2026,RF DI,OUTROS,Resgate Dados Consolidados,EWMA_94,2,0.0443,2026/04/30
2026-06-19,2026-04-30,04/2026,RF DI,PRIVATE,Resgate Dados Consolidados,media_simples,4,0.0342,2026/04/30
2026-06-19,2026-04-30,04/2026,RF DI,PRIVATE,Resgate Dados Consolidados,media_simples,42,0.3299,2026/04/30
2026-06-19,2026-04-30,04/2026,RF DI,PRIVATE,Captação Líquida Dados Consolidados,media_simples,126,0.5311,2026/04/30
2026-06-19,2026-04-30,04/2026,Renda Fixa,PRIVATE,Captação Líquida Dados Consolidados,EWMA_97,126,0.1709,2026/04/30
2026-06-19,2026-04-30,04/2026,Renda Fixa,VAREJO,Resgate Dados Consolidados,EWMA_94,5,0.0095,2026/04/30
2026-06-19,2026-04-30,04/2026,Renda Fixa Crédito,PJ,Captação Líquida Dados Consolidados,EWMA_94,1,0.0049,2026/04/30
2026-06-19,2026-04-30,04/2026,Renda Fixa Crédito,VAREJO,Resgate Dados Consolidados,EWMA_97,1,0.0024,2026/04/30
2026-06-19,2026-04-30,04/2026,Ações,INSTITUCIONAIS,Captação Líquida Dados Consolidados,media_simples,1,0.0019,2026/04/30
2026-06-19,2026-04-30,04/2026,Cambial,PRIVATE,Resgate Dados Consolidados,EWMA_94,10,0.1056,2026/04/30
2026-06-19,2026-04-30,04/2026,Cambial,VAREJO,Captação Líquida Dados Consolidados,EWMA_94,4,0.0071,2026/04/30
2026-06-19,2026-04-30,04/2026,RF DI,EFPC,Resgate Dados Consolidados,media_simples,10,0.0995,2026/04/30
2026-06-19,2026-04-30,04/2026,RF DI,INSTITUCIONAIS,Resgate Dados Consolidados,EWMA_97,21,0.0845,2026/04/30
2026-06-19,2026-04-30,04/2026,RF DI,PJ,Resgate Dados Consolidados,EWMA_94,63,0.9964,2026/04/30
2026-06-19,2026-04-30,04/2026,RF DI,VAREJO,Resgate Dados Consolidados,EWMA_97,63,0.2066,2026/04/30
2026-06-19,2026-04-30,04/2026,Multimercados,EFPC,Resgate Dados Consolidados,media_simples,3,0.0034,2026/04/30
2026-06-19,2026-04-30,04/2026,Multimercados,PJ,Resgate Dados Consolidados,media_simples,126,0.1979,2026/04/30
2026-06-19,2026-04-30,04/2026,Ações,PJ,Resgate Dados Consolidados,media_simples,2,0.0043,2026/04/30
2026-06-19,2026-04-30,04/2026,RF DI,OUTROS,Captação Líquida Dados Consolidados,EWMA_97,63,0.539,2026/04/30
2026-06-19,2026-04-30,04/2026,Renda Fixa,EFPC,Resgate Dados Consolidados,media_simples,21,0.0108,2026/04/30
