data_captura,data_referencia,codigo_ativo_objeto,total_series,posicao_aberta_call,posicao_aberta_put,posicao_aberta_total,put_call_ratio,posicao_coberta,posicao_descoberta,posicao_trava,strike_max_oi_call,strike_max_oi_put
2026-09-13,2026-08-28,RADL,309,11902613,14013282,25915895,1.1773,183482,15838265,9894148,22.24,18.02
2026-09-13,2026-08-28,BRKM,382,7222300,17039800,24262100,2.3593,546400,14987900,8727800,8.0,7.3
2026-09-13,2026-08-28,ASAI,230,11595200,12351400,23946600,1.0652,140900,18108800,5696900,9.3,9.3
2026-09-13,2026-08-28,RAIZ,48,15219500,7413600,22633100,0.4871,2459600,19107000,1066500,1.5,2.0
2026-09-13,2026-08-28,ENEV,280,12466900,9347700,21814600,0.7498,494100,17952000,3368500,25.5,25.5
2026-09-13,2026-08-28,ONCO,74,10611700,10145000,20756700,0.956,50400,18513500,2192800,1.48,1.48
2026-09-13,2026-08-28,ROXO,231,8387800,10331550,18719350,1.2317,1595700,6593760,10529890,14.5,12.5
2026-09-13,2026-08-28,VBBR,405,12673757,5995276,18669033,0.473,615892,9752485,8300656,35.33,33.58
2026-09-13,2026-08-28,GOAU,198,10924955,7422945,18347900,0.6794,1530403,12099185,4718312,10.61,10.61
2026-09-13,2026-08-28,NATU,260,7415000,10439600,17854600,1.4079,201600,12841200,4811800,8.0,8.0
2026-09-13,2026-08-28,KLBN,226,6621772,9894187,16515959,1.4942,785245,6638083,9092631,18.88,17.88
2026-09-13,2026-08-28,BRAP,330,9216700,7142900,16359600,0.775,1368000,7544700,7446900,23.7,23.7
2026-09-13,2026-08-28,CVCB,193,12121400,3328800,15450200,0.2746,1705500,6128800,7615900,1.5,2.0
2026-09-13,2026-08-28,MULT,228,6953300,8465200,15418500,1.2174,39400,12623200,2755900,30.15,30.15
2026-09-13,2026-08-28,CEAB,221,10090300,4309800,14400100,0.4271,318600,6208800,7872700,8.52,7.92
2026-09-13,2026-08-28,TAEE,419,7331900,6720400,14052300,0.9166,529500,10141300,3381500,40.1,40.1
2026-09-13,2026-08-28,GMAT,140,6236400,7088300,13324700,1.1366,552600,11051600,1720500,5.79,3.89
2026-09-13,2026-08-28,CXSE,456,8120100,5194700,13314800,0.6397,2026300,8055900,3232600,16.27,20.52
2026-09-13,2026-08-28,AZZA,434,6710700,6507300,13218000,0.9697,503800,7139300,5574900,17.03,20.53
2026-09-13,2026-08-28,AUAU,332,8311000,4688500,12999500,0.5641,1182700,9148000,2668800,3.87,4.97
2026-09-13,2026-08-28,FLRY,156,6402800,6285700,12688500,0.9817,538800,10169400,1980300,16.33,16.33
2026-09-13,2026-08-28,DIRR,247,6573500,5629100,12202600,0.8563,666000,7850300,3686300,12.21,11.21
2026-09-13,2026-08-28,SEER,63,6075800,6112400,12188200,1.006,158900,11726700,302600,12.97,12.97
2026-09-13,2026-08-28,ENGI,203,5146700,6621680,11768380,1.2866,93600,6525520,5149260,50.61,50.61
2026-09-13,2026-08-28,ECOR,188,6947200,4758100,11705300,0.6849,261100,4508300,6935900,7.04,5.64
