data_captura,indice,indice_nome,codigo_ativo,nome_ativo,tipo_ativo,quantidade_teorica,participacao_pct,reducao_capital,segmento
2026-06-05,IBXL,IBrX 50,BBDC3,BRADESCO,ON  EJ  N1,1464429403,0.950,,
2026-06-05,IBXL,IBrX 50,BBDC4,BRADESCO,PN  EJ  N1,5100889966,3.804,,
2026-06-05,IBXL,IBrX 50,BBAS3,BRASIL,ON  EJ  NM,2842496541,2.383,,
2026-06-05,IBXL,IBrX 50,BRAV3,BRAVA,ON      NM,462883017,0.412,,
2026-06-05,IBXL,IBrX 50,BPAC11,BTGP BANCO,UNT     N2,1194624560,2.601,,
2026-06-05,IBXL,IBrX 50,CMIG4,CEMIG,PN      N1,1904057894,0.888,,
2026-06-05,IBXL,IBrX 50,COGN3,COGNA ON,ON      NM,1915914094,0.197,,
2026-06-05,IBXL,IBrX 50,CPLE3,COPEL,ON      NM,2969406694,1.837,,
2026-06-05,IBXL,IBrX 50,CSAN3,COSAN,ON  ATZ NM,2242671999,0.345,,
2026-06-05,IBXL,IBrX 50,CYRE3,CYRELA REALT,ON      NM,281609283,0.252,,
2026-06-05,IBXL,IBrX 50,EMBJ3,EMBRAER,ON      NM,711833141,2.129,,
2026-06-05,IBXL,IBrX 50,ENGI11,ENERGISA,UNT     N2,325503046,0.659,,
2026-06-05,IBXL,IBrX 50,ENEV3,ENEVA,ON      NM,1913352180,1.990,,
2026-06-05,IBXL,IBrX 50,EQTL3,EQUATORIAL,ON      NM,1247728993,2.132,,
2026-06-05,IBXL,IBrX 50,GGBR4,GERDAU,PN      N1,1258208269,1.303,,
2026-06-05,IBXL,IBrX 50,HAPV3,HAPVIDA,ON      NM,271662290,0.131,,
2026-06-05,IBXL,IBrX 50,ITSA4,ITAUSA,PN  EJ  N1,5970738360,3.230,,
2026-06-05,IBXL,IBrX 50,ITUB4,ITAUUNIBANCO,PN  EJ  N1,5349695485,8.893,,
2026-06-05,IBXL,IBrX 50,KLBN11,KLABIN S/A,UNT     N2,804572623,0.579,,
2026-06-05,IBXL,IBrX 50,RENT3,LOCALIZA,ON      NM,978479038,1.699,,
2026-06-05,IBXL,IBrX 50,LREN3,LOJAS RENNER,ON      NM,982593716,0.618,,
2026-06-05,IBXL,IBrX 50,MGLU3,MAGAZ LUIZA,ON      NM,373155063,0.085,,
2026-06-05,IBXL,IBrX 50,POMO4,MARCOPOLO,PN      N2,728266241,0.179,,
