data_captura,data_referencia,codigo_ativo,label,valor
2026-07-28,1983-04-01,FUNCEX12_XPT12,Exportações Preços Índice,53.33
2026-07-28,1983-05-01,FUNCEX12_XPT12,Exportações Preços Índice,52.53
2026-07-28,1983-06-01,FUNCEX12_XPT12,Exportações Preços Índice,52.2
2026-07-28,1983-07-01,FUNCEX12_XPT12,Exportações Preços Índice,53.53
2026-07-28,1983-08-01,FUNCEX12_XPT12,Exportações Preços Índice,54.39
2026-07-28,1983-09-01,FUNCEX12_XPT12,Exportações Preços Índice,54.26
2026-07-28,1983-10-01,FUNCEX12_XPT12,Exportações Preços Índice,54.06
2026-07-28,1983-11-01,FUNCEX12_XPT12,Exportações Preços Índice,54.33
2026-07-28,1983-12-01,FUNCEX12_XPT12,Exportações Preços Índice,53.93
2026-07-28,1984-01-01,FUNCEX12_XPT12,Exportações Preços Índice,55.52
2026-07-28,1984-02-01,FUNCEX12_XPT12,Exportações Preços Índice,55.98
2026-07-28,1984-03-01,FUNCEX12_XPT12,Exportações Preços Índice,55.85
2026-07-28,1984-04-01,FUNCEX12_XPT12,Exportações Preços Índice,55.58
2026-07-28,1984-05-01,FUNCEX12_XPT12,Exportações Preços Índice,55.98
2026-07-28,1984-06-01,FUNCEX12_XPT12,Exportações Preços Índice,58.16
2026-07-28,1984-07-01,FUNCEX12_XPT12,Exportações Preços Índice,57.83
2026-07-28,1984-08-01,FUNCEX12_XPT12,Exportações Preços Índice,56.77
2026-07-28,1984-09-01,FUNCEX12_XPT12,Exportações Preços Índice,55.25
2026-07-28,1984-10-01,FUNCEX12_XPT12,Exportações Preços Índice,54.06
2026-07-28,1984-11-01,FUNCEX12_XPT12,Exportações Preços Índice,53.93
2026-07-28,1984-12-01,FUNCEX12_XPT12,Exportações Preços Índice,54.58
2026-07-28,1985-01-01,FUNCEX12_XPT12,Exportações Preços Índice,53.98
2026-07-28,1985-02-01,FUNCEX12_XPT12,Exportações Preços Índice,54.98
2026-07-28,1985-03-01,FUNCEX12_XPT12,Exportações Preços Índice,53.85
2026-07-28,1985-04-01,FUNCEX12_XPT12,Exportações Preços Índice,52.59
2026-07-28,1985-05-01,FUNCEX12_XPT12,Exportações Preços Índice,51.47
2026-07-28,1985-06-01,FUNCEX12_XPT12,Exportações Preços Índice,51.73
2026-07-28,1985-07-01,FUNCEX12_XPT12,Exportações Preços Índice,49.74
2026-07-28,1985-08-01,FUNCEX12_XPT12,Exportações Preços Índice,50.08
