data_captura,data_referencia,codigo,nome_emissor,dt_repactuacao_vencimento,indice_correcao,tx_compra,tx_venda,tx_indicativa,desvio_padrao,intervalo_indicativo_min,intervalo_indicativo_max,pu,ratio_pu_par_vne,duration,pct_reune,ref_ntnb
2026-06-05,2026-06-03,ANHBA5,CONCESSIONÁRIA DO SISTEMA ANHANGUERA-BANDEIRANTES S/A (*),2030-11-05,DI + 0.44%,0.6278,0.5104,0.5553,0.0319,0.5234,0.5874,1008.087606,99.6484,773.32,,
2026-06-05,2026-06-03,ANHBA6,CONCESSIONÁRIA DO SISTEMA ANHANGUERA-BANDEIRANTES S/A (*),2032-07-15,DI + 0.5%,0.7594,0.5112,0.6196,0.0349,0.5847,0.6546,1049.711398,99.5496,955.82,10,
2026-06-05,2026-06-03,ANIM15,ANIMA HOLDING S/A (*),2029-05-15,DI + 1.92%,1.7021,1.2693,1.4905,0.0519,1.4386,1.5425,761.369523,100.715,425.5,,
2026-06-05,2026-06-03,ANIM17,ANIMA HOLDING S/A (*),2029-05-15,DI + 1.6%,1.7044,1.305,1.5013,0.0521,1.4492,1.5535,1009.831428,100.2026,524.95,,
2026-06-05,2026-06-03,ANIM18,ANIMA HOLDING S/A (*),2029-10-15,DI + 1.5%,1.7457,1.3378,1.5444,0.0444,1.5,1.589,1018.750654,99.8924,620.24,,
2026-06-05,2026-06-03,APPSB2,AUTOPISTA PLANALTO SUL S/A (*),2028-09-15,DI + 2.15%,1.6,1.2,1.4,0,1.4,1.4,651.854601,100.8425,287.33,,
2026-06-05,2026-06-03,APRB28,AUTOPISTA REGIS BITTENCOURT S/A (*),2027-06-15,DI + 0.86%,0.8608,0.4636,0.6595,0.0582,0.6014,0.7178,441.758995,100.1178,149.18,,
2026-06-05,2026-06-03,ARML13,ARMAC LOCACAO LOGISTICA E SERVICOS S.A. (*) (**),2029-11-04,DI + 2.25%,2.3599,1.9953,2.1575,0.0948,2.0627,2.2524,1015.971237,100.216,600.86,10,
2026-06-05,2026-06-03,ARML14,ARMAC LOCACAO LOGISTICA E SERVICOS S.A. (*),2032-03-15,DI + 1.9%,2.596,2.2757,2.3546,0.208,2.1467,2.5627,1018.367352,98.5156,845,5,
2026-06-05,2026-06-03,ARML15,ARMAC LOCACAO LOGISTICA E SERVICOS S.A. (*),2032-09-25,DI + 1.35%,2.766,2.1638,2.4064,0.401,2.0054,2.8075,989.908018,96.2768,917.43,,
2026-06-05,2026-06-03,ARML25,ARMAC LOCACAO LOGISTICA E SERVICOS S.A. (*),2034-09-25,DI + 1.6%,3.1891,2.7812,3.0302,0.1092,2.921,3.1394,967.291135,94.0339,1096.85,35,
2026-06-05,2026-06-03,ARML26,ARMAC LOCACAO LOGISTICA E SERVICOS S.A. (*),2030-11-05,DI + 1.55%,3.5636,2.3451,2.8979,0.3746,2.5233,3.2727,969.597713,95.756,825.37,,
2026-06-05,2026-06-03,ARTRA1,ARTERIS S/A (*) (**),2027-03-11,DI + 1.65%,1.8008,1.3585,1.587,0.0362,1.5508,1.6234,345.181915,100.045,183.06,5,
2026-06-05,2026-06-03,ARTRA4,ARTERIS S/A (*),2028-08-24,DI + 2.7%,2.3,1.8132,2.05,0,2.05,2.05,1052.116165,100.6799,269.41,,
2026-06-05,2026-06-03,ARTRA5,ARTERIS S/A (*),2029-04-12,DI + 2.4%,2.3546,1.9142,2.1401,0.0467,2.0934,2.1869,1026.472989,100.4054,401.4,5,
2026-06-05,2026-06-03,ASAI18,SENDAS DISTRIBUIDORA S/A (*),2027-12-22,DI + 1.85%,1.7,0.9118,1.3144,0.2433,1.0712,1.5578,1077.924019,100.7073,336.98,,
2026-06-05,2026-06-03,ASAI19,SENDAS DISTRIBUIDORA S/A (*),2029-03-25,DI + 1.25%,2.0249,1.5254,1.7642,0.0375,1.7268,1.8018,1017.864592,99.014,492.58,,
2026-06-05,2026-06-03,ASAI22,SENDAS DISTRIBUIDORA S/A (*),2028-05-20,DI + 1.95%,1.8318,1.5418,1.6885,0.0823,1.6062,1.7709,1009.566272,100.3422,335.25,,
2026-06-05,2026-06-03,ASAI28,SENDAS DISTRIBUIDORA S/A (*),2028-12-22,DI + 1.95%,2.0325,1.6556,1.8301,0.0719,1.7583,1.9021,1073.388369,100.2406,514.68,,
2026-06-05,2026-06-03,ASAIA0,SENDAS DISTRIBUIDORA S/A (*),2029-06-20,DI + 1.25%,2.1,1.6729,1.8855,0.0203,1.8652,1.9058,1054.078221,98.7338,512.59,,
2026-06-05,2026-06-03,ASAIA1,SENDAS DISTRIBUIDORA S/A (*),2029-09-25,DI + 1.25%,2.0988,1.7036,1.9044,0.039,1.8654,1.9435,1012.863485,98.5275,579.59,10,
2026-06-05,2026-06-03,ASAIA2,SENDAS DISTRIBUIDORA S/A (*),2029-12-09,DI + 1.25%,2.0683,1.7539,1.8948,0.0699,1.8249,1.9648,1055.594249,98.3429,662.14,,
2026-06-05,2026-06-03,ASAIA3,SENDAS DISTRIBUIDORA S/A (*),2029-06-05,DI + 1.2%,2.116,1.7,1.8993,0.0538,1.8454,1.9532,1057.353579,98.4119,584.93,,
2026-06-05,2026-06-03,AURE13,AUREN ENERGIA S.A. (*),2031-10-10,DI + 0.55%,0.9524,0.7127,0.8135,0.0313,0.7822,0.8449,1011.631432,99.1486,822.56,15,
