data_captura,indice,indice_nome,codigo_ativo,nome_ativo,tipo_ativo,quantidade_teorica,participacao_pct,reducao_capital,segmento
2026-06-01,IBOV,Ibovespa,CSNA3,SID NACIONAL,ON,727975012,0.202,,
2026-06-01,IBOV,Ibovespa,SLCE3,SLC AGRICOLA,ON      NM,220403658,0.141,,
2026-06-01,IBOV,Ibovespa,SMFT3,SMART FIT,ON      NM,556651316,0.427,,
2026-06-01,IBOV,Ibovespa,SUZB3,SUZANO S.A.,ON      NM,612918471,1.063,,
2026-06-01,IBOV,Ibovespa,TAEE11,TAESA,UNT     N2,218568234,0.355,,
2026-06-01,IBOV,Ibovespa,VIVT3,TELEF BRASIL,ON  ERJ,707125712,0.990,,
2026-06-01,IBOV,Ibovespa,TIMS3,TIM,ON      NM,777451080,0.705,,
2026-06-01,IBOV,Ibovespa,TOTS3,TOTVS,ON      NM,533997411,0.731,,
2026-06-01,IBOV,Ibovespa,UGPA3,ULTRAPAR,ON      NM,1067870496,1.144,,
2026-06-01,IBOV,Ibovespa,USIM5,USIMINAS,PNA     N1,518256757,0.238,,
2026-06-01,IBOV,Ibovespa,VALE3,VALE,ON      NM,3535764048,12.123,,
2026-06-01,IBOV,Ibovespa,VAMO3,VAMOS,ON      NM,448052066,0.057,,
2026-06-01,IBOV,Ibovespa,VBBR3,VIBRA,ON      NM,1192004780,1.468,,
2026-06-01,IBOV,Ibovespa,VIVA3,VIVARA S.A.,ON      NM,123698325,0.111,,
2026-06-01,IBOV,Ibovespa,WEGE3,WEG,ON      NM,1485954732,2.713,,
2026-06-01,IBOV,Ibovespa,YDUQ3,YDUQS PART,ON      NM,261365845,0.103,,
2026-06-01,IBRA,IBrA - Índice Brasil Amplo,TTEN3,3TENTOS,ON      NM,113066386,0.065,,
2026-06-01,IBRA,IBrA - Índice Brasil Amplo,ABCB4,ABC BRASIL,PN      N2,76369069,0.069,,
2026-06-01,IBRA,IBrA - Índice Brasil Amplo,ALOS3,ALLOS,ON      NM,478558715,0.501,,
2026-06-01,IBRA,IBrA - Índice Brasil Amplo,ALPA4,ALPARGATAS,PN      N1,128924117,0.059,,
2026-06-01,IBRA,IBrA - Índice Brasil Amplo,ALUP11,ALUPAR,UNT     N2,157537587,0.191,,
2026-06-01,IBRA,IBrA - Índice Brasil Amplo,ABEV3,AMBEV S/A,ON,4273841357,2.588,,
2026-06-01,IBRA,IBrA - Índice Brasil Amplo,ANIM3,ANIMA,ON      NM,256720485,0.031,,
2026-06-01,IBRA,IBrA - Índice Brasil Amplo,ARML3,ARMAC,ON      NM,172086226,0.023,,
2026-06-01,IBRA,IBrA - Índice Brasil Amplo,ASAI3,ASSAI,ON      NM,1338623499,0.435,,
2026-06-01,IBRA,IBrA - Índice Brasil Amplo,AURE3,AUREN,ON      NM,317799925,0.146,,
2026-06-01,IBRA,IBrA - Índice Brasil Amplo,AXIA3,AXIA ENERGIA,ON      N1,1863816444,3.625,,
2026-06-01,IBRA,IBrA - Índice Brasil Amplo,AXIA6,AXIA ENERGIA,PNB     N1,266311915,0.562,,
2026-06-01,IBRA,IBrA - Índice Brasil Amplo,AZZA3,AZZAS 2154,ON      NM,109571260,0.078,,
2026-06-01,IBRA,IBrA - Índice Brasil Amplo,B3SA3,B3,ON      NM,4997059816,3.059,,
2026-06-01,IBRA,IBrA - Índice Brasil Amplo,BRSR6,BANRISUL,PNB     N1,202536440,0.110,,
2026-06-01,IBRA,IBrA - Índice Brasil Amplo,BBSE3,BBSEGURIDADE,ON  ATZ NM,616248544,0.809,,
2026-06-01,IBRA,IBrA - Índice Brasil Amplo,BMOB3,BEMOBI TECH,ON      NM,79319310,0.071,,
2026-06-01,IBRA,IBrA - Índice Brasil Amplo,BLAU3,BLAU,ON      NM,38584960,0.016,,
2026-06-01,IBRA,IBrA - Índice Brasil Amplo,SOJA3,BOA SAFRA,ON      NM,58542883,0.014,,
2026-06-01,IBRA,IBrA - Índice Brasil Amplo,BRBI11,BR PARTNERS,UNT     N2,47238057,0.028,,
2026-06-01,IBRA,IBrA - Índice Brasil Amplo,BBDC3,BRADESCO,ON      N1,1464429403,0.842,,
2026-06-01,IBRA,IBrA - Índice Brasil Amplo,BBDC4,BRADESCO,PN      N1,5100889966,3.349,,
2026-06-01,IBRA,IBrA - Índice Brasil Amplo,BRAP4,BRADESPAR,PN      N1,250914708,0.217,,
2026-06-01,IBRA,IBrA - Índice Brasil Amplo,SAUD3,BRADSAUDE,ON      NM,251735971,0.127,,
2026-06-01,IBRA,IBrA - Índice Brasil Amplo,BBAS3,BRASIL,ON      NM,2842496541,2.141,,
2026-06-01,IBRA,IBrA - Índice Brasil Amplo,BRKM5,BRASKEM,PNA     N1,265709734,0.103,,
2026-06-01,IBRA,IBrA - Índice Brasil Amplo,BRAV3,BRAVA,ON      NM,462883017,0.348,,
2026-06-01,IBRA,IBrA - Índice Brasil Amplo,BPAC11,BTGP BANCO,UNT     N2,1194624560,2.382,,
2026-06-01,IBRA,IBrA - Índice Brasil Amplo,CXSE3,CAIXA SEGURI,ON      NM,600000000,0.394,,
2026-06-01,IBRA,IBrA - Índice Brasil Amplo,CAML3,CAMIL,ON  ED  NM,96218424,0.020,,
2026-06-01,IBRA,IBrA - Índice Brasil Amplo,BHIA3,CASAS BAHIA,ON      NM,143421097,0.007,,
2026-06-01,IBRA,IBrA - Índice Brasil Amplo,CBAV3,CBA,ON      NM,204441277,0.081,,
2026-06-01,IBRA,IBrA - Índice Brasil Amplo,CEAB3,CEA MODAS,ON      NM,204964309,0.088,,
2026-06-01,IBRA,IBrA - Índice Brasil Amplo,CMIG4,CEMIG,PN      N1,1904057894,0.760,,
2026-06-01,IBRA,IBrA - Índice Brasil Amplo,COGN3,COGNA ON,ON      NM,1915914094,0.178,,
2026-06-01,IBRA,IBrA - Índice Brasil Amplo,CSMG3,COPASA,ON      NM,188467895,0.369,,
2026-06-01,IBRA,IBrA - Índice Brasil Amplo,CPLE3,COPEL,ON      NM,2969406694,1.604,,
2026-06-01,IBRA,IBrA - Índice Brasil Amplo,CSAN3,COSAN,ON  ATZ NM,2242671999,0.316,,
2026-06-01,IBRA,IBrA - Índice Brasil Amplo,CPFE3,CPFL ENERGIA,ON      NM,187732538,0.302,,
2026-06-01,IBRA,IBrA - Índice Brasil Amplo,CMIN3,CSNMINERACAO,ON      N2,1646519336,0.285,,
2026-06-01,IBRA,IBrA - Índice Brasil Amplo,CURY3,CURY S/A,ON      NM,160988231,0.189,,
2026-06-01,IBRA,IBrA - Índice Brasil Amplo,CVCB3,CVC BRASIL,ON      NM,408009727,0.023,,
2026-06-01,IBRA,IBrA - Índice Brasil Amplo,CYRE3,CYRELA REALT,ON      NM,281609283,0.235,,
2026-06-01,IBRA,IBrA - Índice Brasil Amplo,DASA3,DASA,ON      NM,177124938,0.020,,
2026-06-01,IBRA,IBrA - Índice Brasil Amplo,DESK3,DESKTOP,ON      NM,34835856,0.023,,
2026-06-01,IBRA,IBrA - Índice Brasil Amplo,DXCO3,DEXCO,ON      NM,336842147,0.060,,
