data_captura,dt_captura,Tipo de Rating,Rating,Data da Ação de Rating,Data da ÚltimaRevisão,Identifica­dores Regulatórios,CreditWatch/ Perspectiva,Data do CreditWatch/ Perspectiva,nome,link
2026-06-03,2026-06-03,Escala Nacional Brasil de Longo Prazo,brAAA,2018-07-11,,--,Stable,2018-07-11,Banco Toyota do Brasil S.A.,https://brazil.ratings.spglobal.com/ratings/pt/regulatory/org-details/sectorCode/FI/entityId/1000627
2026-06-03,2026-06-03,Escala Nacional Brasil de Longo Prazo,brAA-,2024-06-20,2026-01-15,--,Stable,2024-06-20,Banco Mercantil,https://brazil.ratings.spglobal.com/ratings/pt/regulatory/org-details/sectorCode/FI/entityId/1001476
