data_captura,dt_captura,nome,link
2026-06-03,2026-06-03,Banco Toyota do Brasil S.A.,https://brazil.ratings.spglobal.com/ratings/pt/regulatory/org-details/sectorCode/FI/entityId/1000627
2026-06-03,2026-06-03,Banco Mercantil,https://brazil.ratings.spglobal.com/ratings/pt/regulatory/org-details/sectorCode/FI/entityId/1001476
