data_captura,conjunto,arquivo_origem,description,groupdescription,lastupdate,rate,securityidentificationcode,value,registro_hash
2026-06-01,b3_taxa_cambio_referencia,,DOLAR SPOT BMF PARA 1 DIA,TAXAS DE CÂMBIO,01/06/2026,,9800508,"5,0157",5683c2f7fcda74d22f389557
2026-06-01,b3_taxa_cambio_referencia,,DÓLAR BMF SPOT - 2 DIAS,TAXAS DE CÂMBIO,01/06/2026,,10009506,"5,0179",bf42bbad9ba4e24565946760
