data_captura,indice,indice_nome,codigo_ativo,nome_ativo,tipo_ativo,quantidade_teorica,participacao_pct,reducao_capital,segmento
2026-06-06,IFNC,Índice Financeiro,BBSE3,BBSEGURIDADE,ON      NM,616248544,5.123,,
2026-06-06,IFNC,Índice Financeiro,BRBI11,BR PARTNERS,UNT     N2,47238057,0.169,,
2026-06-06,IFNC,Índice Financeiro,BBDC3,BRADESCO,ON  EJ  N1,1130938083,4.019,,
2026-06-06,IFNC,Índice Financeiro,BBDC4,BRADESCO,PN  EJ  N1,3939275399,16.166,,
2026-06-06,IFNC,Índice Financeiro,BBAS3,BRASIL,ON  EJ  NM,2842496541,12.800,,
2026-06-06,IFNC,Índice Financeiro,BPAC11,BTGP BANCO,UNT     N2,1194624560,14.213,,
2026-06-06,IFNC,Índice Financeiro,CXSE3,CAIXA SEGURI,ON      NM,600000000,2.476,,
2026-06-06,IFNC,Índice Financeiro,IRBR3,IRBBRASIL RE,ON  EJ  NM,81534304,0.974,,
2026-06-06,IFNC,Índice Financeiro,ITUB3,ITAUUNIBANCO,ON  EJ  N1,174982153,1.663,,
2026-06-06,IFNC,Índice Financeiro,ITUB4,ITAUUNIBANCO,PN  EJ  N1,2052266378,18.719,,
2026-06-06,IFNC,Índice Financeiro,PINE4,PINE,PN      N2,70606588,0.211,,
2026-06-06,IFNC,Índice Financeiro,PSSA3,PORTO SEGURO,ON      NM,178825403,2.008,,
2026-06-06,IFNC,Índice Financeiro,SANB11,SANTANDER BR,UNT,360347199,2.263,,
2026-06-08,IFNC,Índice Financeiro,ABCB4,ABC BRASIL,PN      N2,76369069,0.427,,
2026-06-08,IFNC,Índice Financeiro,B3SA3,B3,ON      NM,4997059816,18.088,,
2026-06-08,IFNC,Índice Financeiro,BRSR6,BANRISUL,PNB     N1,202536440,0.681,,
2026-06-08,IFNC,Índice Financeiro,BBSE3,BBSEGURIDADE,ON      NM,616248544,5.123,,
2026-06-08,IFNC,Índice Financeiro,BRBI11,BR PARTNERS,UNT     N2,47238057,0.169,,
2026-06-08,IFNC,Índice Financeiro,BBDC3,BRADESCO,ON  EJ  N1,1130938083,4.019,,
2026-06-08,IFNC,Índice Financeiro,BBDC4,BRADESCO,PN  EJ  N1,3939275399,16.166,,
2026-06-08,IFNC,Índice Financeiro,BBAS3,BRASIL,ON  EJ  NM,2842496541,12.800,,
2026-06-08,IFNC,Índice Financeiro,BPAC11,BTGP BANCO,UNT     N2,1194624560,14.213,,
2026-06-08,IFNC,Índice Financeiro,CXSE3,CAIXA SEGURI,ON      NM,600000000,2.476,,
2026-06-08,IFNC,Índice Financeiro,IRBR3,IRBBRASIL RE,ON  EJ  NM,81534304,0.974,,
2026-06-08,IFNC,Índice Financeiro,ITUB3,ITAUUNIBANCO,ON  EJ  N1,174982153,1.663,,
2026-06-08,IFNC,Índice Financeiro,ITUB4,ITAUUNIBANCO,PN  EJ  N1,2052266378,18.719,,
2026-06-08,IFNC,Índice Financeiro,PINE4,PINE,PN      N2,70606588,0.211,,
2026-06-08,IFNC,Índice Financeiro,PSSA3,PORTO SEGURO,ON      NM,178825403,2.008,,
2026-06-08,IFNC,Índice Financeiro,SANB11,SANTANDER BR,UNT,360347199,2.263,,
2026-06-09,IFNC,Índice Financeiro,ABCB4,ABC BRASIL,PN      N2,76369069,0.426,,
2026-06-09,IFNC,Índice Financeiro,B3SA3,B3,ON      NM,4997059816,17.989,,
2026-06-09,IFNC,Índice Financeiro,BRSR6,BANRISUL,PNB     N1,202536440,0.684,,
2026-06-09,IFNC,Índice Financeiro,BBSE3,BBSEGURIDADE,ON      NM,616248544,5.228,,
2026-06-09,IFNC,Índice Financeiro,BRBI11,BR PARTNERS,UNT     N2,47238057,0.167,,
2026-06-09,IFNC,Índice Financeiro,BBDC3,BRADESCO,ON  EJ  N1,1130938083,4.004,,
2026-06-09,IFNC,Índice Financeiro,BBDC4,BRADESCO,PN  EJ  N1,3939275399,16.026,,
2026-06-09,IFNC,Índice Financeiro,BBAS3,BRASIL,ON  EJ  NM,2842496541,12.841,,
2026-06-09,IFNC,Índice Financeiro,BPAC11,BTGP BANCO,UNT     N2,1194624560,14.269,,
2026-06-09,IFNC,Índice Financeiro,CXSE3,CAIXA SEGURI,ON      NM,600000000,2.510,,
2026-06-09,IFNC,Índice Financeiro,IRBR3,IRBBRASIL RE,ON  EJ  NM,81534304,0.983,,
2026-06-09,IFNC,Índice Financeiro,ITUB3,ITAUUNIBANCO,ON  EJ  N1,174982153,1.663,,
2026-06-09,IFNC,Índice Financeiro,ITUB4,ITAUUNIBANCO,PN  EJ  N1,2052266378,18.698,,
2026-06-09,IFNC,Índice Financeiro,PINE4,PINE,PN      N2,70606588,0.204,,
2026-06-09,IFNC,Índice Financeiro,PSSA3,PORTO SEGURO,ON      NM,178825403,2.025,,
2026-06-09,IFNC,Índice Financeiro,SANB11,SANTANDER BR,UNT,360347199,2.283,,
2026-06-10,IFNC,Índice Financeiro,ABCB4,ABC BRASIL,PN      N2,76369069,0.436,,
2026-06-10,IFNC,Índice Financeiro,B3SA3,B3,ON      NM,4997059816,17.982,,
2026-06-10,IFNC,Índice Financeiro,BRSR6,BANRISUL,PNB     N1,202536440,0.686,,
2026-06-10,IFNC,Índice Financeiro,BBSE3,BBSEGURIDADE,ON      NM,616248544,5.223,,
2026-06-10,IFNC,Índice Financeiro,BRBI11,BR PARTNERS,UNT     N2,47238057,0.167,,
2026-06-10,IFNC,Índice Financeiro,BBDC3,BRADESCO,ON  EJ  N1,1130938083,4.004,,
2026-06-10,IFNC,Índice Financeiro,BBDC4,BRADESCO,PN  EJ  N1,3939275399,16.055,,
2026-06-10,IFNC,Índice Financeiro,BBAS3,BRASIL,ON  EJ  NM,2842496541,12.701,,
2026-06-10,IFNC,Índice Financeiro,BPAC11,BTGP BANCO,UNT     N2,1194624560,14.204,,
2026-06-10,IFNC,Índice Financeiro,CXSE3,CAIXA SEGURI,ON      NM,600000000,2.520,,
