data_captura,hora_captura,data_hora_cotacao,cotacao_compra,cotacao_venda
2026-06-01,23:36:28,2026-06-01 13:11:27.63,5.0297,5.0303
2026-06-02,14:03:00,2026-06-01 13:11:27.63,5.0297,5.0303
2026-06-02,14:03:00,2026-06-02 13:10:30.711,5.0154,5.016
